The Beatles	264.9 	2748	50106	2604	45416
Elvis Presley	208.4 	4378	78543	4236	73025
Michael Jackson	175.4 	3511	83863	3382	76060
Madonna	166.6 	4143	85902	4045	78417
Elton John	161.8 	5247	84000	5149	79735
Led Zeppelin	138.5 	2251	27617	2077	23780
Pink Floyd	116.2 	3222	20229	3191	18676
Mariah Carey	129.1 	3850	74479	3741	68341
Celine Dion	122 	6955	82718	6489	81032
Whitney Houston	111.3 	2005	40344	1971	36824
AC/DC	111.5 	1831	17238	1788	15531
Queen	103.9 	3304	39375	3233	36925
The Rolling Stones	94.7	4225	71942	4146	65593
ABBA	57.8 	3022	34300	2975	31986
Eminem	116	12538	194400	11825	176931
Garth Brooks	142.8	3278	37726	3223	35966
Eagles	127.9	2256	23261	2201	21625
Rihanna	126.1 	2667	53386	2605	48811
U2	102.6 	3649	51547	3595	47895
Billy Joel	99.2	3647	42271	3568	40044
Phil Collins	85.5	2598	42970	2562	39776
Aerosmith	83 	4166	56689	3997	52280
Frank Sinatra	37.1	4806	67652	4738	61761
Barbra Streisand	97.1	5294	78793	5131	72783
Taylor Swift	130.4	2611	40674	2542	37476
Genesis	39.5	4264	54949	4174	50053
Neil Diamond	67.1	3814	71541	3717	66761
Kanye West	94.1	5445	66728	5176	60188
Bruce Springsteen	98.6	0	0	0	0
Bee Gees	67.3	3121	78282	3040	71788
Julio Iglesias	51	7455	67324	7273	61037
Dire Straits	42.9	2154	15630	2108	14797
Metallica	90.2 	3350	40641	3293	37920
Bon Jovi	80.5	3566	79997	3475	74054
Jay-Z	79.8	265	558	263	525
Britney Spears	77.1	2568	65624	2484	58606
Rod Stewart	76.1	4639	79628	4531	73424
Fleetwood Mac	73.7	2501	51640	2438	48033
George Strait	72.8	3591	64628	3483	59330
Backstreet Boys	70.9	2093	51480	2058	46469
Guns N' Roses	69.2	2527	32104	2469	29844
Prince	61.9	6839	167240	6498	144645
Kenny Rogers	58.8	3220	48829	3153	45310
Paul McCartney	57.9	2121	30677	2070	27366
Janet Jackson	51	2975	64325	2876	57850
Chicago	48.1	657	3192	643	2749
The Carpenters	45.9	849	4297	832	4061
Bob Dylan	43.6	6328	81143	6129	73138
George Michael	43.5	2037	29838	1975	27838
Bryan Adams	43.1	2625	45556	2529	41231
Def Leppard	41.4	0	0	0	0
Cher	40.4	3290	57750	3212	54046
Lionel Richie	40	1941	40263	1902	36586
Olivia Newton-John	34.7	3143	49708	3110	47299
Stevie Wonder	33.8	1900	20829	1861	18914
Linda Ronstadt	32.5	4327	47185	4276	44823
Tina Turner	32.1	2452	29701	2374	27510
Donna Summer	30.8	2680	46787	2622	43720
The Beach Boys	29.7	0	0	0	0
The Who	25.3	1827	19826	1794	17821
Barry White	21.7	1758	25766	1713	22972
Katy Perry	106.9	2545	29285	2506	27270
Santana	61.2	2910	27362	2881	25264
Gloria Estefan	35.4	4741	63802	4684	58170
Earth, Wind & Fire	34.9	3087	52755	3025	47946
Shania Twain	72.6	1865	25366	1802	22993
R.E.M.	41.6	4524	56726	4459	51272
B'z	72.8	0	0	0	0
Bruno Mars	72.1	1525	20470	1501	18762
Van Halen	63.8	2903	38318	2752	32219
Lady Gaga	74.4	2597	41149	2498	37288
Red Hot Chili Peppers	52.3	4855	56622	4777	53625
Foreigner	49.1	1807	33283	1766	30970
The Doors	46.6	150	417	148	372
Reba McEntire	42.2	3580	63320	3508	60383
Meat Loaf	39.9	2928	50254	2873	46522
Barry Manilow	36.5	3746	65832	3664	61556
Tom Petty	34.4	849	5381	826	4941
New Kids on the Block	30.2	1856	31712	1802	27619
Johnny Hallyday	24.3	5942	69193	5341	70401
Robbie Williams	48.2	4299	57819	4224	54643
The Black Eyed Peas	54	5061	73612	4791	65495
Beyoncé	66	563	4068	557	3920
Journey	60.8	0	0	0	0
Kenny G	52	821	5470	809	5127
Enya	48.7	1930	15057	1869	13387
Alabama	47.5	3429	51233	3332	47125
Green Day	46.3	3457	44706	3417	42200
Tupac Shakur	46.2	1662	8279	1639	7543
Nirvana	43.9	2031	24662	2008	22613
Spice Girls	41.1	1537	29129	1497	24949
The Police	38.2	1725	16210	1712	15354
Andrea Bocelli	37.4	5747	36832	5548	33531
Bob Marley	36	2122	34598	1965	28038
Mötley Crüe	27.6	2554	28430	2505	25909
Kiss	26.8	2742	58266	2663	50810
Depeche Mode	26.3	2335	31301	2326	30155
Aretha Franklin	24.5	2587	47277	2478	41321
Scorpions	18.9	2689	51120	2651	48332
